TIMESTAMP,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~THROUGHPUT~TPS,2013-12-27_08:34~UN*X~PHYSICAL_MEMORY~RAM~USED,2013-12-27_08:34~UN*X~SWAP_SPACE~SWAP~USED,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~RUNNING~VALUE,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~COMPLETED~PER_SECOND,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~DISCARDED~PER_SECOND,2013-12-27_08:34~UN*X~MAIN~CPU~USAGE_(%),2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~SENT~PER_SECOND,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~TIME_TAKEN~AVERAGE,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~QUEUED~VALUE
00:03:20,10.0,217,0,0.668,10.0,,,10.0,57.09090909090909,0.0
00:03:21,10.0,217,0,0.591,10.0,,,10.0,,0.0
00:03:22,10.0,217,0,0.559,10.0,,,10.0,57.81818181818182,0.0
00:03:23,10.0,217,0,0.557,10.0,,,10.0,55.2,0.0
00:03:24,10.0,217,0,0.549,10.0,,,10.0,53.90909090909091,0.0
00:03:25,10.0,217,0,0.579,10.0,,,10.0,57.8,0.0
00:03:26,10.0,217,0,0.559,10.0,,,10.0,55.36363636363637,0.0
00:03:27,10.0,217,0,0.543,10.0,,,10.0,54.5,0.0
00:03:28,10.0,217,0,0.611,10.0,,,10.0,62.3,0.0
00:03:29,10.0,217,0,0.584,10.0,,,10.0,56.36363636363637,0.0
00:03:30,10.0,217,0,0.554,10.0,,,10.0,54.90909090909091,0.0
00:03:31,10.0,217,0,0.591,10.0,,,10.0,59.3,0.0
00:03:32,10.0,217,0,0.558,10.0,,,10.0,53.0,0.0
00:03:33,10.0,217,0,0.54,10.0,,,10.0,52.7,0.0
00:03:34,10.0,217,0,0.51,10.0,,,9.0,55.0,0.0
00:03:35,10.0,217,0,0.57,10.0,,,11.0,53.54545454545455,0.0
00:03:36,10.0,217,0,0.544,10.0,,,10.0,55.81818181818182,0.0
00:03:37,10.0,217,0,0.575,10.0,,,10.0,58.2,0.0
00:03:38,10.0,217,0,0.563,10.0,,,10.0,51.63636363636363,0.0
00:03:39,10.0,217,0,0.507,10.0,,,10.0,54.9,0.0
00:03:40,10.0,217,0,0.585,10.0,,,10.0,58.72727272727273,0.0
00:03:41,10.0,217,0,0.596,10.0,,,10.0,52.9,0.0
00:03:42,10.0,217,0,0.522,10.0,,,10.0,,0.0
00:03:43,10.0,217,0,0.564,10.0,,,10.0,55.90909090909091,0.0
00:03:44,10.0,217,0,0.602,10.0,,,10.0,59.8,0.0
00:03:45,10.0,217,0,0.569,10.0,,,10.0,57.27272727272727,0.0
00:03:46,10.0,217,0,0.574,10.0,,,10.0,56.45454545454545,0.0
